,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
19,B000FA64PK,"[0, 0]",4,"I have a version of ""Star by Star"" that does not include the novella ""Recovery,"" so I downloaded this book onto my Fire.  ""Recovery"" tells of Leia's recovery after she was nearly killed in ""Balance Point.""  If it was meant to tell the story of the healing of Han and Leia's relationship, it surely failed.  There was far too much action to attempt much more than a few brief moments or reconciliation.  They have a deeper understanding of each other but not much time to work on it.Is it a necessary read?  Not really.  I could have skipped it (I actually did) and not miss much.  It felt like the extraneous part of a book that had been edited out, like in the DVD's, where it's billed as the extras.  People pay to see those extras.  I did.  It was worth it, but probably not to everyone.","07 20, 2012",A22CW0ZHY3NJH8,Noname,"Not a necessary read, but I liked it",1342742400
20,B000FA64PK,"[0, 0]",5,"Excellent! Very well written story, very exciting with LOTS of action. The bad guys trying to kill Leia and Han. Viki Shesh is introduced.","12 31, 2013",A2QK1U70OJ74P,Sharon Deem,Fits right into New Jedi Order timeline,1388448000
21,B000FA64QO,"[0, 0]",2,"With Ylesia, a novella originally published in e-book form, Walter Jon Williams gets an opportunity to insert further story into his novel Destiny's Way. The events of Ylesia take place midway through that book, so this is a good read to tackle immediately after finishing Destiny's Way. The novella follows a New Republic mission to the titular planet, which is serving as the capital of the traitorous Peace Brigade and houses their attempt at a Senate. The Peace Brigade promote capitulation to the Yuuzhan Vong and have served as a human counterpoint to the efforts of the Jedi and the more heroic members of the New Republic throughout the New Jedi Order. They are a logical part of the story but not one I've found terribly interesting, as we rarely get anything told from their point-of-view, making them rather cardboard as adversaries.Yleisa brings back Thracken Sal-Solo in an entertaining plotline which sees him forcibly installed as the President of the Peace Brigade. This doesn't fit well with Sal-Solo's plans to better his own galactic situation but he displays a knack for adaption and survival not unlike that of his famous cousin Han Solo. Ylesia itself, a major source of the drug spice in the Star Wars galaxy, will be familiar to readers of A. C. Crispin's Han Solo Trilogy, and it's nice to see it return.For the most part Yleisa doesn't advance the story of Destiny's Way much: primarily, it delivers some closure to the Peace Brigade subplot. Sal-Solo was the most memorable aspect, as some of the space battle and ground assault material following the New Republic's invasion of the system felt like material I've read an awful lot of times before.  Ylesia is a solid enough little story but I would only recommend it to someone going through the entire New Jedi Order and wanting a little more.","03 15, 2012",A3SZMGJMV0G16C,"Andrew Pruette ""Rancors Love to Read""",Minor New Jedi Order side story,1331769600
22,B000FA64QO,"[0, 0]",5,Great book couldn't put it down.  The story expands events in the new Jedi order series.  Good writer in Walter Jon Williams.,"02 4, 2014",A1UG4Q4D3OAH3A,dsa,Ylesia,1391472000
23,B000FA64QO,"[2, 2]",4,"Most of the New Jedi Order books focus on the Solo kids, to the extent that some are viewed as ""Jacen books"" or ""Jania books."" The novella Ylesia is if anything a book starring Thrackan Sal-Solo. Thrackan is forcibly recruited by the Yuuzhan Vong to become president of the Peace Brigade Republic. However, the New Republic forces also choose to attack Ylesia. There's nothing new or terribly exciting in the novel, but it's a nice side story. It's written in a similar style asDestiny's Way (Star Wars: The New Jedi Order, Book 14), which isn't surprising as they're both by the same author. This short story actually takes place during the novel, so I'd recommend reading the novel first so Ylesia doesn't spoil any surprises.","05 17, 2011",AQZH7YTWQPOBE,Enjolras,A Thrackan story,1305590400
24,B000FA64QO,"[0, 0]",5,I was hoping to find this one in book form. The story looks like it will be good when I get that far in the series.,"01 27, 2014",A1ZT7WV0ZUA0OJ,Mike,my e- collection,1390780800
25,B000FA64QO,"[0, 0]",3,"The events of ""Ylesia"" take place during ""Destiny's Way.""  If you've read ""Destiny's Way,"" you will see it mentioned in passing.Jaina and Jacen go to Ylesia to fight the Peace Brigade to show them that it's not good to align themselves with the enemy.  From there, it is page after page of battle scenes.  It is endless.  One huge chapter.  It's like the chapter that was cut out for good reason.""Ylesia"" doesn't advance ""Destiny's Way"" or ""The New Jedi Order"" in any way that I could tell.  We don't learn anything new.  There is no insight.  If I had skipped it, I wouldn't have missed anything.If you don't mind reading in PDF, ""Ylesia"" is available free from Del Rey.  If you Google, you'll see it linked to the Wayback machine and it's still there.","08 7, 2012",A22CW0ZHY3NJH8,Noname,One huge chapter,1344297600
26,B000FBFMVG,"[0, 0]",5,"Really shouldn't have Han Solo on the cover as he doesn't come into the story.This story is all about Chewbacca and his family.I won't give anything away, but it is a nice, if short, read.","02 15, 2014",A3AZH0OO0GUAI3,Amazon Customer,An interesting short story.,1392422400
27,B000FBFMVG,"[5, 5]",3,"Originally published as an e-book coinciding with the release of the novel Tatooine Ghost, Troy Denning's A Forest Apart is a short story following Chewbacca, his wife Mallatobuck, and his son Lumpy on a adventure into the bowels of Coruscant. Malla and Lumpy are visiting Chewie at his Coruscant apartment when a break-in at the next-door Solo place turns out to have more serious ramifications. The Wookiees follow the burglars and end up unearthing an Imperial plot set in place by an old tool of the villainous Ysanne Isard.There's a lot of action in a short space but not much time for meaningful character development. Lumpy is a pre-teen striving to find his place in the world, and Chewbacca's perpetual absence in his life may have left a gaping hole as far as having a father figure to look up to. There's not enough pages to explore this theme with much depth, and in the end the issue is dropped, since on a practical level Lumpy can't live with his father chasing all over the galaxy anyway. The theme of the impact a Wookiee Life Debt has on the Wookiee holding it and on his/her family is an interesting one that could be explored in more detail with a longer story.Unlike many novels which handle Chewie's communications by having him grunt and then having a nearby character paraphrase what he said, Denning makes the wise choice of letting the Wookiees speak as normal characters and simply puts brackets to indicate they are actually using their native tongue. It's always enjoyable seeing Chewbacca in action, and even though this story doesn't really add anything significant to the larger saga, it's an entertaining diversion.","08 25, 2008",A3SZMGJMV0G16C,"Andrew Pruette ""Rancors Love to Read""",Short story featuring everyone's favorite Wookiee,1219622400
28,B000FBFMVG,"[0, 1]",4,This book was a good idea. I have always wanted to read more about Chewbaccas son Lumpy. Though I do wish he would have added more to the ending. I would recommend this book to anyone who loves Star Wars and Chewbacca.,"04 1, 2013",A3H8PE1UFK04JZ,Caleb Watts,Great,1364774400
29,B000FBFMVG,"[0, 0]",5,"Great short story. It gives a little more insight into the walking carpet we all love, this time as a father","01 2, 2014",A2EN84QHDRZLP2,Carl craft,Another read,1388620800
30,B000FBFMVG,"[0, 0]",5,I love anything with Chewbacca in it.  Him and his family is just a bonus.  Kind of nice to see him having problems with his son.,"10 11, 2013",A1UG4Q4D3OAH3A,dsa,Love It,1381449600
31,B000FBFMVG,"[0, 0]",5,"A great little chapter to read on my Kindle, but not necessarily worth the price. It would have been a nice addition to The Courtship of Princess Leia or an add on to Tatooine Ghost. I liked it, but when it doesn't even rate being published as a paperback; an avid Star Wars fan you will need to be to download and read this eBook.","04 16, 2009",A38Z3Q6DTDIH9J,"Jimmy J. Shaw ""oldbent1""",Star Wars: A Forest Apart,1239840000
32,B000FBFMVG,"[0, 0]",5,I love the stories with Chewie in them! this e-book is no exception. great character introductions and wonderful story line.,"01 27, 2014",A1ZT7WV0ZUA0OJ,Mike,my collection,1390780800
33,B000FBFMVG,"[0, 0]",4,I'm not really sure where it actually fits into the overall story line.This story involves only Chewie and his wife and son.  The other characters are only mentioned in passing.  It was enjoyable and well written but I was glad it was very short and didn't keep me from the main story for very long.,"01 14, 2012",A3D58M29K2HWMV,"P. Thompson ""romancewriter""",Enjoyable But...,1326499200
34,B000FBFMVG,"[0, 0]",3,"I really do enjoy Troy Denning's work, I want everyone who reads this review to know this.  I loved Star by Star and I very much enjoyed Tattooine Ghost.  This book ""A Forest Apart"" wasn't on par with his other works.  It wasn't without it's charm, but it had things in it that I didn't like.The story itself is pretty simple.  It's a coming of age story for Chewbacca's son, and instead of coming of age on Kashyyyk, he is growing up on Coruscant.  It's not horrible, and we find out that Lumpy is an avid gamer and enjoys playing video games and that he idolizes his father.***SPOILERS***  ***SPOILERS***  ***SPOILERS***First of all, why is Han Solo on the cover?  He's not even IN this story other than a few mentions of his name.  Why not have Chewbacca and Lumpy instead of Han and Chewie?  Also, I HATE books where Chewbacca's grunts and growls are translated.  Like in the Black Fleet Trilogy, he had his speech translated and it was just stupid.  I feel that he works much better as a strong silent type who speaks through his actions rather than his words.  I mean imagine in characters like Jason Vorhees, Michael Meyers, Silent Bob, or Sphynx (from Gone in 60 Seconds), all just started having lengthy conversations throughout their movies?  They lose some of what makes those characters awesome.  Sometimes an author can say very much by having a character say very little.My only other problem with the book is when Chewie and Malla have the droid ""IT"" in their blaster sights, his back is to them and he doesn't see them.  Why don't they just shoot him?  Instead they send Lumpy out as a ""distraction.""  Yet he doesn't really do anything worth mentioning to distract IT and his minions.  He walks out on the observation deck where they are hiding, opens the window and drops down to the level where IT and his minions are loading nerve gas onto transport ships.  I mean that's not much of a distraction, besides the point of a distraction is to get someone's attention away from one spot so you can do something while they are not looking.  Well, IT wasn't looking in your direction to begin with, so why bother?  They could have just taken up positions on the observation deck and shot him.***END SPOILERS***  ***END SPOILERS***  ***END SPOILERS***Okay so this story wasn't really bad other than a few minor details I didn't like.  I did like seeing that even in a galaxy far far away that we have sons who want to be like their fathers and get into trouble when they do rebellious things.  This story reminded me of what a good writer Troy Denning is and it reminded me to add his other works to my wishlist.Check this one out!","04 7, 2013",A12LKEM543ILBK,zombie phreak,A Good Quick Read,1365292800
35,B000FC1BN8,"[1, 1]",3,"Timothy Zahn's Fool's Bargain is a short story originally published in e-book form and set before the events of his novel Survivor's Quest. This tale covers an assignment Aurek Company of the Imperial 501st receives on the embattled planet Kariek. The focus is on the four troopers who comprise Aurek-Seven and in particular their leader Twister. This is the same squad that plays a part in Survivor's Quest, minus one personnel change which is detailed in this story. There aren't many Expanded Universe stories that take the Imperial point of view, so this is a welcome perspective here. By this stage in the galaxy's history, years after the Battle of Endor, certain elements of the Empire have developed a more enlightened perspective of the universe around them. These troopers are honorable soldiers fighting for a government they believe in, one that no longer ruthlessly oppresses subject populations but rather plays more of a protector role.The Empire of the films is notably a human-centric organization. Zahn opens the door to alien Imperials in this story with the introduction of Su-mil, an Eickarie and a Kariek native swept up in a civil war. There is a clever bit of deception on Su-mils part involving the Eickarie concept of a lie (they term a lie ""left-handed,"" vs. a truth which is ""right-handed"" - this must be awkward for the native left-handed Eickaries!). By fighting together, Twister sees a potentially valuable ally in Su-mil and we get a perspective of how a stormtrooper unit might be something a soldier would actually aspire to join, rather than simply being cannon fodder for Rebel heroes.All in all, Fool's Bargain is an enjoyable vignette of Imperial life that expands a bit on characters from Survivor's Quest and also provides an interesting preview of the Imperial perspective Zahn went on to explore more thoroughly in his novel Allegiance. It can be purchased in electronic form and is also available in the paperback version ofSurvivor's Quest (Star Wars).","09 24, 2010",A3SZMGJMV0G16C,"Andrew Pruette ""Rancors Love to Read""",Enjoyable Imperial slice-of-life story,1285286400
36,B000FC1BN8,"[0, 0]",3,"Not too bad, an intro-short-story for some bigger upcoming novel. It's timothy Zahn, what did you expect from the master of Science Fiction.","02 25, 2014",AIG0I95Q2H1GF,Anita,A Short Story,1393286400
37,B000FC1BN8,"[0, 0]",5,I absolutely love this book. Though it is short it was written by Zahn. Any Star Wars fan knows this book is a good one. I would recommend this book to anyone who loves Star Wars.,"04 1, 2013",A3H8PE1UFK04JZ,Caleb Watts,Great,1364774400
38,B000FC1BN8,"[0, 0]",5,What can I say Stormtroopers.  A story with troopers is as awesome as a story with any Sith lord.  AWESOME!!!!!!,"10 11, 2013",A1UG4Q4D3OAH3A,dsa,Stormtroopers,1381449600
39,B000FC1BN8,"[8, 9]",2,"For whatever reason, Star Wars short stories are a bit of a hit or miss. The ""Tales of..."" are great in that they explain background characters. However,Fool's Bargaindidn't really fit the bill. It's a short story about a relatively minor and unmemorable character from Timothy Zahn'sSurvivor's Quest (Star Wars). The story itself is basically about stormtroopers storming a fortress with some mysterious Warlord. Unlike most of Zahn's other work, this is mostly a book of action, not intricate plot development. In fact, the story ends with an exciting twist, but doesn't develop it. I feel like this short story would have been better had it been about a character we all know and love, or included a really interesting plot twist. Also, just to note, this same story is included in the paperback copy ofSurvivor's Quest (Star Wars), so there's no need to buy the separate Kindle version.","09 24, 2010",AQZH7YTWQPOBE,Enjolras,"Too short, not enough story",1285286400
40,B000FC1BN8,"[0, 2]",3,"As an ebook it reads very well on my Kindle, but it really doesn't seem to belong where it is. Maybe at the end of The Dark Nest Trilogy or Legacy of the Force, but it just seems not to have a place it belongs in the Star Wars universe. At least not to me.","04 16, 2009",A38Z3Q6DTDIH9J,"Jimmy J. Shaw ""oldbent1""",Star Wars: Fool's Bargain,1239840000
41,B000FC1BN8,"[0, 0]",3,"** Note: this story appears as a bonus in the paperback edition of Survivor's Quest. **Fool's Bargain is a short story featuring the stormtroopers of Aurek-Four, a unit of the Imperial 501st Legion of the Empire of the Hand.  It takes place shortly before the events of Survivor's Quest, but is probably best read after.The Empire of the Hand is involved in a war to rid the native Eickarie people of their latest warlord, but the 501st curious orders are very specific - take the warlord alive.  This story is tightly focused, with a couple of characters firmly at the center.  There's good detail here but for some reason it doesn't feel as well developed as other short stories I've read by Zahn.  Also,  those who look for big names in their Star Wars stories will want to give this a pass.  A couple of minor characters from Survivor's Quest show up in largely supporting roles, but there are no movie characters nor beloved favorites here.But despite these caveats Fool's Bargain is a good short story that gives further glimpse of Zahn's take on stormtroopers, which he touched on in Survivor's Quest, and would continue to explore in later novels (Allegiance and Choices of One).","05 14, 2012",A2OIGPPBTR65MR,para,"Enjoyable, if unremarkable, stormtrooper tale.",1336953600
42,B000FC1BN8,"[0, 0]",2,"I admit it, I snapped this up the moment I saw it on new releases, because I tend to do that with anything written by Timothy Zahn. He is, in my opinion, one of the best contemporary sci-fi authors where it comes to world building, intricate plot, and edge-of-seat action. His Thrawn and Conqueror's trilogies were incredible, Quadrail and Cobra were very unique and engaging, and even his one-off novels like Icarus Hunt and Outbound Flight are excellent. So I figured this would be too.First off, when I hit the end my jaw dropped and I literally said aloud ""Huh? That's it?!"" I then spent several minutes looking to see if it picked up somewhere else. It is a really short story, barely longer than some of the ones that appear in the 'Tales' Star Wars series (and those books have several of them!). It's also, I must say, a lot less interesting than most of them and probably the single weakest plot I've seen Zahn write. It's not terrible, but it really isn't that great either- there's no twists and at the end you're left wondering where the other half of the story is. The novella revolves around a force of Stormtroopers who are only somewhat memorable (as is the case with most such white-armored shock troops) and though there is quite a bit of action, it kind of reads like a (short) movie or videogame script.Overall, not worth paying for. In fact, it should really be free if you ask me.","01 17, 2013",A1YEPFLLH42OU1,"Yu-jin &amp; Tracy Chia ""Yu-Jin Chia""",An average short story,1358380800
43,B000FC1BN8,"[0, 0]",5,"I love Timothy Zahn's work!  He does what no other writer, not even George Lucas himself can do.  He takes the rank and file Storm Troopers and gives them personalities, talents, skills and makes them multi-dimensional characters that people can get invested in.Where most writers show the Storm Troopers as faceless cannon fodder who can't hit anything with their blasters, Zahn shows them as competent sharpshooting elite commandos who can think on their feet and adapt to any situation as well as follow orders.***SPOILERS***  ***SPOILERS***  ***SPOILERS***So the story is a pretty basic one.  There is an alien warlord who is ruling a planet with an iron fist, and the Empire decides it is time to go and free the plant of his rule, so they dispatch the 501st Legion a.k.a. Vader's Fist to take him down.There is something I do wonder about though, this takes place after Vader is dead, and after Thrawn's rule has ended.  So why does the 501st Legion keep calling themselves ""Vader's Fist?""  Vader's not around anymore?  Do they keep the name just for the sake of nostalgia?  It's not really a major gripe, just something that makes me scratch my head.Our main characters are three Storm Troopers who all have different skills and specialties.  They infiltrate the warlord's fortress and meet up with some of the local freedom fighters and strike a deal with them.  If the troopers help them free their imprisoned comrades, they will help the troopers get inside and take out the warlord's troops and bring him to justice.The troopers agree and they infiltrate the stronghold together.  Later it seems the rebels have betrayed the Storm Troopers, but it turns out it is just a very elaborate ruse and the rebels were always on the side of the troopers and the prisoners are freed and the warlord is captured by the Empire and brought to justice.Later the head of the rebels is offered a position in the 501st Legion, which is awesome!  It really helps to enforce the fact that the Empire has learned that just having humans in their military doesn't help, it's a hindrance and it was the main reason the Rebel Alliance was able to defeat them.***END SPOILERS***  ***END SPOILERS***  ***END SPOILERS***Zahn gives us action, gun fights, intrigue and a little bit of politics as well in this story.  Any fan of Star Wars or Zahn's writing will enjoy this book very much!","05 17, 2013",A12LKEM543ILBK,zombie phreak,Excellent!,1368748800
44,B000FC1TG2,"[0, 0]",5,"The hero in this story has been living in NYC and working for a sort of Crime boss.  Beaten up and tossed in an empty train car by the competition, he ends up out west and, by a series of flukes, becomes the sheriff of a small western town that is in serious trouble.  While it is not one of my L'Amour favorites, he tells it with his usual flair and attention to detail and it's well worth reading.","03 11, 2013",AVWWFK3FZDEL2,D. Mckinzie,"Unlikely, but possible, story, very well told",1362960000
45,B000FC1TG2,"[0, 0]",5,"The Iron Marshall, by Louie L`Amour is one of his best. Of course all of his are the best.Louie is a man who knew the west. His books make it possible to really feel how it was.","03 28, 2014",A1CQ8WG6CUDBNV,gail,Gail,1395964800
46,B000FC1TG2,"[0, 0]",5,This is yet another  L'Amour winner. I have yet to read a book of his that was less than great. He has the ability to keep you enthalled enough in the story to make you not want to put the book down until it is finished.,"12 7, 2013",A1XWEAEETTS4OD,"John H. Danner ""Book Lover""",Great Read,1386374400
47,B000FC1TG2,"[0, 0]",5,I almost didn't get this book because of the cover but since it was double 'LL  I did.  As always the author came through.  Good book and characters.  The plot was interesting,"06 18, 2013",A3B07KAS0C0Q2R,Kindle Customer,Irish luck,1371513600
48,B000FC1TG2,"[0, 0]",5,"This story by Louis L'Amour was the very first of his novels that I ever read.  Novels with a western theme were not my thing when I was growning up, so imagine my surprise when I just sort of drifted into this book one rainy afternoon.  I guess I was attracted to it by the fact that it opens in New York City, not the deserts of New Mexico.Anyway, I soon found that L'Amour has a writing style just as smooth as silk, and I found myself sliding into this book as easily as if he took me by the hand and led me to an alter.  Since then I have read several more of L'Amour's books and have enjoyed all of them.  I will review them here over the next few weeks, time permitting.This book tells the story of how a young man from New York City ends up in a small Kansas town and picks up the job of being the Sheriff one day before all hell is scheduled to break loose.  Others have outlined the text already, so I won't bore you with yet another outline.  I'll just say that if you have not read any of Louis L'Amour in the past, this would be a really great place to start, or even to get reacquainted.  While you do that, I'm gonna find another L'Amour book to read.:)","07 25, 2009",AWYOWZKRBKQHQ,Mary Ellison,A Good Afternoon Read,1248480000
49,B000FC1TG2,"[0, 0]",5,"This is how it was in the big gambling and corrupt cities of the eastern seaboard.  Then go out west and become a real hero.  Again, the video was also good.","05 29, 2013",AEC18J7P03ZBP,pigskin,Wow what a transition!,1369785600
50,B000FC26RI,"[0, 0]",5,"Pat Anjali is the da man of an overview of spiritual practice, from an Indian perspective 600 AD.  (or is that 800 Ad?)The most controversial part of PJ, imo, is he discusses at length the Siddhis or powers accruing from SP.But the definition of SP, according to Pat is in the opening:Yogaham chitta vritti narodaham.Yoga is the stilling of the thought  waves of the mind.orcloseness to God is a result of clearing out childish distractions of the mind.A must have book on every learned person's book shelf, but see another reviewer's comments on the translation - evidently theKindle is crap, or scholarly quality.SO - buy the book, and avoid the Kindle.","03 23, 2014",A39N0BN4B2Q7F,"Amazoner ""reader, thinker, doer""",classic by the master,1395532800
51,B000FC26RI,"[0, 0]",5,"simply stated and translated, this copy is easily understood. The review says it has to have eleven more words to be accepted, so here they are.","01 7, 2013",A3GSHMATNCP0XP,"Gary R. Casebeer ""Montessorian, Retired""",love it,1357516800
52,B000FC26RI,"[0, 0]",4,I have several translations of the Yoga Sutras and did find this one a fairly understandable one. It has a decent layout and you can move through it fairly fast.,"05 29, 2014",A2T7TBJM0ETP2M,George,Nice read,1401321600
53,B000FC26RI,"[0, 0]",3,"Did not impress me that much, as I have read the one written by The Yogaville founder (which was detailed and informative)","11 4, 2013",ADXAE3UOGPUN4,Goldilocks,So-So,1383523200
54,B000FC26RI,"[0, 0]",4,As an aspiring yogini this is required reading.  It's not an easy read but it's essential and the translation was good.,"02 13, 2013",A2Y1X56N8NPH8G,"Heather ""Houndog""",A good resource,1360713600
